CustomerKey;First name;LastName;Imie i naziwsko;BirthDate;Gender;Płeć;TotalChildren;AddressLine1;Kraj
29039;Xavier;Hayes;Xavier Hayes;1986-04-21;M;Mężczyzna;5;2652 Eastgate;United States
13898;Richard;Baker;Richard Baker;1986-04-06;M;Mężczyzna;5;108 Lakeside Court;United States
26651;Gregory;Nara;Gregory Nara;1986-03-14;M;Mężczyzna;4;2489 Teakwood Drive;Australia
26653;Kaylee;Allen;Kaylee Allen;1986-03-10;F;Kobieta;4;377 Trees Drive;Australia
26652;Bruce;Moreno;Bruce Moreno;1986-03-10;M;Mężczyzna;4;9204 Park Highlands;Australia
24456;Danny;Ruiz;Danny Ruiz;1986-02-13;M;Mężczyzna;4;4661 Balboa Court;Australia
19150;Maria;Bailey;Maria Bailey;1986-02-13;F;Kobieta;4;8381 Lake Place;Canada
13899;Cameron;Jones;Cameron Jones;1986-02-10;M;Mężczyzna;5;1105 Meadowbrook Drive;United States
24823;Vincent;Zhao;Vincent Zhao;1986-02-10;M;Mężczyzna;5;1105 Meadowbrook Drive;United States
13900;Isaac;Campbell;Isaac Campbell;1985-10-07;M;Mężczyzna;5;614 Shepberry Court;United States
27354;Deanna;Patel;Deanna Patel;1985-08-18;F;Kobieta;5;4525 Benedict Ct.;Australia
24599;Virginia;Garcia;Virginia Garcia;1985-08-18;F;Kobieta;4;8505 Fall Creek;Australia
11701;David;Hayes;David Hayes;1985-08-16;M;Mężczyzna;4;3570 Book Ct;United States
22269;Caleb;Yang;Caleb Yang;1985-08-13;M;Mężczyzna;5;2756 Sinclair Avenue;United States
18584;Haley;Evans;Haley Evans;1985-07-16;F;Kobieta;5;7569 Sierra Drive;United States
16440;Jimmy;Martin;Jimmy Martin;1985-06-02;M;Mężczyzna;4;34, rue Philibert-Delorme;France
17827;Maria;Coleman;Maria Coleman;1985-05-16;F;Kobieta;4;689, rue Maillard;France
16302;Rosa;Zeng;Rosa Zeng;1985-05-11;F;Kobieta;4;905, boulevard d´Albi;France
19663;Alex;Allen;Alex Allen;1985-05-11;M;Mężczyzna;4;4930 Augustine Drive;United States
11594;Corey;Goel;Corey Goel;1985-05-03;M;Mężczyzna;4;11, rue de l'Espace De Schengen;France
16439;Dawn;Deng;Dawn Deng;1985-04-24;F;Kobieta;4;1, rue de Fontfroide;France
16304;Justin;Moore;Justin Moore;1985-04-14;M;Mężczyzna;5;Welt Platz 9;Germany
18023;Terrence;Raji;Terrence Raji;1985-04-14;M;Mężczyzna;5;Westheimer Straße 5601;Germany
12851;Brandy;Sai;Brandy Sai;1985-03-25;F;Kobieta;4;151, rue Jean Mermoz;France
18022;Victor;Alvarez;Victor Alvarez;1985-03-14;M;Mężczyzna;5;Parise Straße 7155;Germany
16303;Tracy;Yuan;Tracy Yuan;1985-03-06;F;Kobieta;5;Rehstr 1235;Germany
29408;Heather;Chen;Heather Chen;1985-02-20;F;Kobieta;4;135, boulevard du Montparnasse;France
14826;Stefanie;Lopez;Stefanie Lopez;1985-02-13;F;Kobieta;4;668, rue des Berges;France
11922;James;Davis;James Davis;1985-02-13;M;Mężczyzna;4;3704 Elliott Dr.;Canada
20926;Jeffery;Guo;Jeffery Guo;1985-01-14;M;Mężczyzna;4;86, rue Mazagran;France
24376;Tommy;Black;Tommy Black;1985-01-06;M;Mężczyzna;5;2962 Ana Mile;Australia
11595;Sebastian;Howard;Sebastian Howard;1984-12-29;M;Mężczyzna;5;Höhenstr 9419;Germany
20927;Tammy;Martinez;Tammy Martinez;1984-12-13;F;Kobieta;5;Berliner Platz 94;Germany
22515;Alexa;Morris;Alexa Morris;1984-12-06;F;Kobieta;4;8818, avenue de Villiers;France
19495;Francis;Gill;Francis Gill;1984-10-31;M;Mężczyzna;4;99, rue du Départ;France
21099;Sandra;Liu;Sandra Liu;1984-10-21;F;Kobieta;4;2, rue Pierre-Demoulin;France
20925;Kristin;Xu;Kristin Xu;1984-10-02;F;Kobieta;4;2, rue de l´Avenir;France
25654;Carla;Malhotra;Carla Malhotra;1984-09-30;F;Kobieta;4;8, rue de la Comédie;France
23937;Eddie;Ruiz;Eddie Ruiz;1984-09-22;M;Mężczyzna;5;Am Grossen Dern 4583;Germany
25132;Lindsey;Xie;Lindsey Xie;1984-09-16;F;Kobieta;5;4137 Garcia Ranch Road;Australia
19494;Sergio;Martinez;Sergio Martinez;1984-09-16;M;Mężczyzna;4;11, rue Villedo;France
16441;Jason;Young;Jason Young;1984-09-08;M;Mężczyzna;5;Reiherweg 54;Germany
23936;Monique;Vazquez;Monique Vazquez;1984-08-15;F;Kobieta;4;2, rue Lafayette;France
24110;Kaylee;Brooks;Kaylee Brooks;1984-08-10;F;Kobieta;4;402, rue de Bas Marin;France
21098;Steve;Ma;Steve Ma;1984-08-10;M;Mężczyzna;4;9406, rue Maillard;France
14971;Susan;Zhu;Susan Zhu;1984-07-23;F;Kobieta;4;10, rue Pierre-Demoulin;France
21111;Ricardo;Deng;Ricardo Deng;1984-06-14;M;Mężczyzna;4;6445 Heartwood Drive;United Kingdom
27827;Meagan;Malhotra;Meagan Malhotra;1984-05-26;F;Kobieta;4;8370 Birchwood Dr;United Kingdom
22526;Jamie;Moreno;Jamie Moreno;1984-05-25;M;Mężczyzna;4;1113 Ready Road;United Kingdom
25505;Curtis;Zhou;Curtis Zhou;1984-05-19;M;Mężczyzna;4;4243 Willow Creek Ct;United Kingdom
14984;Regina;Vance;Regina Vance;1984-05-12;F;Kobieta;5;9246 Westminster Pl;United Kingdom
23942;Rafael;Goel;Rafael Goel;1984-05-12;M;Mężczyzna;4;Postfach 8 44 99;Germany
18724;Denise;Fernandez;Denise Fernandez;1984-05-01;F;Kobieta;5;3815 Berry Dr.;Australia
27826;Nicolas;Xu;Nicolas Xu;1984-04-09;M;Mężczyzna;4;Buergermeister-ulrich-str 5000;Germany
14982;Kayla;Hughes;Kayla Hughes;1984-04-06;F;Kobieta;4;7551 Black Walnut Ct.;United Kingdom
13817;Jenny;Huang;Jenny Huang;1984-04-04;F;Kobieta;5;14, avenue de la Gare;France
19597;Jay;Martin;Jay Martin;1984-03-20;M;Mężczyzna;4;8384 Potomac Drive;Australia
12166;Jared;Rogers;Jared Rogers;1984-03-06;M;Mężczyzna;5;1261 Sierrawood Court;Canada
14980;Michele;Garcia;Michele Garcia;1984-03-02;F;Kobieta;4;Unter Linden 244;Germany
14835;Melody;Saunders;Melody Saunders;1984-03-01;F;Kobieta;4;Winter der Böck 2550;Germany
20933;Laura;Li;Laura Li;1984-02-23;F;Kobieta;4;9965 V. Street;United Kingdom
12863;Caleb;Zhang;Caleb Zhang;1984-02-22;M;Mężczyzna;4;Auf Der Steige 77;Germany
28100;Kimberly;Gray;Kimberly Gray;1984-02-22;F;Kobieta;4;6238 Mount Circle;United States
14983;Juan;Sanz;Juan Sanz;1984-02-21;M;Mężczyzna;4;7814 Nephi Court;United Kingdom
23945;Nicolas;Black;Nicolas Black;1984-02-20;M;Mężczyzna;5;3952 Morello Ave.;United Kingdom
11762;Randall;Gomez;Randall Gomez;1984-02-17;M;Mężczyzna;5;1159 Lacassie Ave;Australia
22695;Darren;Martin;Darren Martin;1984-02-14;M;Mężczyzna;4;5457 Woodcrest Dr.;United Kingdom
21110;Brent;Zeng;Brent Zeng;1984-02-04;M;Mężczyzna;4;5183 Hames Drive;United Kingdom
22525;Julio;Gutierrez;Julio Gutierrez;1984-02-03;M;Mężczyzna;4;Zollstr 68;Germany
